id,name,brewery,style,alcohol,fruit,ibu,text
149,팔야스 세종,헨리커스,세종,6도,1,22,드라이호핑 기법을 이용한 팔야스 세종은 밝은 황금빛과 과일향의 힌트가 부드러우면서도 드라이하여 갈증해소에 시원한 세종 스타일 맥주이다.  
150,폰드 트러디션 크릭 람빅,반 혼스브룩 브루어리,괴즈,6.5도,1,10,괴즈 폰드 트러디션에 체리를 넣어 숙성시킨 크릭 람빅맥주로 괴즈 폰드 트러디션보다 한단계 산미를 끌어올린 무가당의 산뜻한 체리 괴즈 람빅 이다.  
151,몽스 카페,반 스틴베르그,플랜더스 레드 에일,5.5도,1,25,"체리류의 붉은 과일의 맛이 지배적이며, 적당한 새콤함으로 가볍게 마실 수 있는 사우어 맥주이다. 벨기에 서쪽 플란더스 지역에서 만들어져 플란더스 레드 에일로 불린다. 오크 배럴에 2년간 숙성한 맥주를 미숙성한 맥주와 블렌딩하여 달콤함을 더해준다. 만들기 까다로운 맥주라 벨기에에서도 소수의 양조장에서만 생산하고 있으며, 몽스카페 역시 1년에 한 두 차례만 만들어지는 특별한 맥주이다.  "
152,드 가르,반 스틴베르그,트리펠,11도,1,30,"벨기에의 가장 아름다운 펍 드가르 De Garre의 하우스 맥주로 11도가 느껴지지 않는 뛰어난 음용성 때문에 펍 드가르에서는 한 사람당 3잔까지만 판매하는 재미있는 스토리가 있다. 헤드가 매우 풍부하고, 과일향과 스파이시한 정향, 바닐라향이 가득하며, 달콤한 몰티함과 약간의 쌉싸름함을 함께 가지고 있다. 보르도 와인 효모로 병 안에서 2차 발효를 하여  매우 부드럽다.  "
153,우드 크릭 비에유,우드비어셀,크릭,6도,1,30,"1882년부터 전통방식으로 만들어 온 벨지안 크릭으로, 람빅에 체리(크릭)을 넣어 발효시킨 전통적인 벨기에 사우어 맥주이다. 체리의 새콤함이 맥주에 복합미를 부여하여, 달지 않으며, 펑키하고 새콤한 체리의 향이 매력적이다. 리터당 400g 넘게 체리를 사용한다. 설탕이나 인공감미료, 보존제를 전혀 넣지않고 100% 전통방식으로 만든다.  "
154,반데르벨덴 135 우드 괴즈 비에유,우드비어셀,괴즈,6.5도,1,30,135년전 1882년에 우드비어셀 양조장을 창업한 반데르발덴 씨에 대한 헌정맥주이다. 이탈리아 토스카니 지역의 브루넬로 디 몬탈치노 레드와인 배럴에서 숙성한 1년된 람빅과 우드비어셀 푸더에서 3년 숙성한 람빅을 블렌딩한 맥주이다.  
155,그린 월넛,우드비어셀,람빅,6도,0,15,완전히 익지 않은 생호두를 람빅에 넣어 숙성시켜 만드는 독특한 괴즈로 익지 않은 호두에서 오는 쓴맛과 신맛의 밸런스가 훌륭한 사우어 맥주이다.  
156,밀리어네어,와일드비어 컴퍼니,밀크 스타우트,4.7도,0,40,프랑스 3대 초콜릿 발로나 카카오닙과 전세계 유일하게 바다 소금이 들어간 달콤짭짤한 밀크스타우트이다. 극강의 부드러움과 우아한 달콤함을 보여주는 맛을 가지고 있다.  
157,모더스 오퍼란디,와일드비어 컴퍼니,올드 에일,7도,0,45,"와일드 비어의 첫 번째 맥주로 와일드 비어 그 자체라고 할 수 있는 맥주이다. 브렛의 펑키함, 배럴의 탄닌, 젖산과 초산의 짜릿함이 잊을 수 없는 복합미를 보여준다. 스테이크 등 육류와도 완벽한 페어링으로 정찬 디너에 훌륭하다.영국식 올드 브라운 에일을 야생 브렛 효모로 발효 후 와인 배럴과 버번 위스키 배럴에서 에이징한다.  "
158,자이푸르,쏜브리지,인디아 페일 에일,5.9도,0,50,달콤한 몰트와 신선한 허브와 자몽향이 누구나 맛있게 마실 수 있는 IPA이다. 10년간 150회 이상 수상 경력을 가진 영국 대표 맥주이다.  
159,할시온,쏜브리지,임페리얼 인디아 페일 에일,7.4도,1,70,"세계에서 가장 구하기 어려운 홉 중 하나인 갤럭시(Galaxy)와 넬슨 소빈(Nelson Sauvin) 홉을 사용한, 특유의 열대과일향과 스파이시한 향이 풍부한 임페리얼 IPA이다.  "
160,레옹,옴니폴로,인디아 페일 에일,6.5도,1,37,"옴니폴로의 베스트 셀러로 가볍고, 드라이하며, 상큼하고 산뜻한 과일향의 쓴 맛이 강하지 않은 페일 에일이다. 샴페인 방식으로 숙성하여 기포지속력이 좋으며, 탄산감이 강하다. 죽기 전에 마셔야 할 30가지 IPA 이다.  "
161,마자린,옴니폴로,페일 에일,5.6도,1,48,일명 ‘촛불맥주’로 망고와 오렌지의 열대 과일향이 풍부한 진한 헤이지한 페일 에일이다. 누구에게 소개해줘도 맛있게 마실 수 있는 오트밀 페일 에일이다.  
162,비앙카 망고 라씨 고제,옴니폴로,고제,6도,1,15,"인도 디저트 라씨에서 모티브를 얻어 망고퓌레, 소금, 유당을 넣어 만든 고제로 은은한 망고향이 매력적인 새콤한 사우어 에일이다.  "
163,노아 피칸 머드 케이크,옴니폴로,임페리얼 스타우트,11도,0,50,"헨녹의 12살 때 꿈인 파티쉐를 떠올리며, 브루어가 되어 만든 맥주로 피칸머드케이크를 완벽히 맥주로 재현했다. 피칸 케이크, 초콜렛, 견과류, 바닐라, 커피의 입 안 꽉 찬 향연으로 한 번 마시면 잊을 수 없는 맛을 선사한다.  "
164,노아 피칸 머드 케이크 버번 배럴 에이지드,옴니폴로,임페리얼 스타우트,11도,0,50,"헨녹의 12세 꿈이었던 파티쉐를 떠올리며, 브루어가 되어 만든 맥주로 피칸머드케이크를 완벽히 맥주로 재현했다. 노아 피칸 머드 케이크를 버번 배럴에서 숙성하여, 좀 더 진하고 복합적이며 버번 풍미가 더해진 버전이다.  "
165,하이프노폼파,옴니폴로,임페리얼 스타우트,11도,0,50,"마쉬멜로우와 타히티산 바닐라 빈을 넣어 만든 임페리얼 스타우트이다. 다크초콜렛, 커피, 바닐라, 견과류 향이 풍부하며, 약간의 스파이시한 향신료 아로마도 함께 가지고 있다. 말도 안되게 부드러운 질감과 복합적인 향이 매력적이다.  "
166,하이프노폼파 럼 배럴 에이지드,옴니폴로,임페리얼 스타우트,11도,0,50,마쉬멜로우와 타히티산 바닐라 빈을 넣어 만든 임페리얼 스타우트인 하이프노폼파를 럼 배럴에서 숙성한 맥주이다. 달콤한 럼의 풍미가 더해진 완벽한 흑맥주이다.  
167,아나그램,옴니폴로,임페리얼 스타우트,12도,1,50,놀랄만큼 블루베리 치즈 케이크 맛이 나는 스타우트이다. 옴니폴로 스타우트 중 가장 많은 팬을 가지고 있는 맥주 중 하나이다.  
168,온다,옴니폴로,페일 에일,5도,1,35,"모자익 홉만을 100% 사용한 싱글홉 IPA 맥주이다.열대과일, 복숭아, 파인애플, 자몽 향이 풍부하여, 모자익 홉의 정수를 느낄 수 있는 페일 에일이다.  "
169,오리지널 아이스크림 페일 에일,옴니폴로,페일 에일,5.6도,1,35,옴니폴로 아이스크림 시리즈로 바닐라빈을 넣어 만든 페일에일로 향긋한 과일향과 바닐라향이 가득한 달콤쌉쌀한 페일 에일이다.  
170,오리지널 로키 로드 아이스크림 포터,옴니폴로,임페리얼 포터,10도,0,50,"옴니폴로 아이스크림 시리즈로 마쉬멜로우, 코코아닙, 바닐라빈, 유당을 넣어 만든 포터로, 초콜렛, 견과류, 카라멜의 풍미가 폭발적인 포터이다. 흑맥주와 어울리는 다양한 부재료의 향연을 느낄 수 있는 맥주이다.  "
171,오리지널 팝시클 필스 ,옴니폴로,필스너,5.2도,1,32,"옴니폴로 아이스크림 시리즈로 파인애플, 망고, 바닐라 아로마가 더해진 재미있는 필스너이다.  "
172,오리지널 라즈베리 머랭 아이스크림 파이,옴니폴로,사워 에일,6도,1,25,옴니폴로 아이스크림 시리즈로 라즈베리 파이의 새콤 달콤항 풍미가 매력적인 사우어 맥주이다.  
173,오리지널 메이플 트뤼플 아이스크림 와플,옴니폴로,임페리얼 포터,11.5도,0,50,"옴니폴로 아이스크림 시리즈. 메이플, 카카오닙, 시나몬, 바닐라빈을 더해 만든 임페리얼 포터로 옴니폴로 흑맥주 중 가장 진하고 복합적인 풍미를 보여주는 맥주이다.  "
174,벨텐부르거 헤페바이스 헬,벨텐부르거 지엠비에이치,헤페바이스,5.4도,1,12,"탁한 금색의 맥주. 일반적인 헤페에 비해 달지않고 고소한 진함과 부드러운 목넘김과 시트러스한 향과 맛으로 상큼한 풍미를 지니고 있다. 이러한 특징으로 인해 각종 음식, 특히 생선류, 갑각류, 돼지고기 등과의 매칭이 좋다.  "
175,밸탠부르거 아삼 복,벨텐부르거 지엠비에이치,더블 복,6.9도,1,24,"풍부하고 짙은 갈색의 맥주. 건과일향과 홉향의 조화, 첫 느낌의 단맛과 쌉싸름한 뒷맛의 조화, 홉과 몰트의 조화 등 전반적으로 밸런스가 좋은 맥주이다. 유러피언 비어 스타 골드 3회 수상, Ratebeer 97점, BA 91점 등 전 세계적으로 사랑 받고 있는 웰메이드 프리미엄 복맥주이다.  "
176,벨텐부르거 바로크 둔켈,벨텐부르거 지엠비에이치,다크 라거,4.7도,0,20,"부드러운 갈색의 맥주. 월드 비어컵 골드 3회 수상에 빛나는 바로크 둔켈은 세계 최초로 양조된 다크 라거로, 흑맥주의 고소함과 라거의 깔끔함을 동시에 보여준다. 자극적이지않은 적당한 홉향과 부드러운 목넘김으로 절제의 미학을 보여주는 최상급 다크 라거이다.  "
177,비숍스호프 알트파터,비숍스호프,바이젠 복,7.1도,0,14,"진하고 탁한 금색의 맥주. 독일의 맥주 순수령 500주년을 기념하여 2016년에 새롭게 탄생한 알트파터는 독일어로 수도원의 노신부님을 의미한다. 일반적인 바이젠복에 비해 탄산감이 풍부하여 입안을 개운하게 해주며, 각종 치즈나 콜드 플레이트, 담백한 디저트 류와의 페어링 좋다.  "
178,플래티넘 페일 에일,플래티넘 크래프트 비어,페일 에일,5도,1,34,입맛을 돋우는 가벼운 쓴맛에 과일과 꽃향기 등 향이 풍부해 세계적으로 가장 큰 인기몰이를 하고 있는 플래티넘의 대표 맥주이다.  
179,플래티넘 화이트 에일,플래티넘 크래프트 비어,화이트 에일,5.3도,1,11,백색의 풍부한 거품과 강렬한 오렌지향을 가진 부드러운 맛의 밀맥주이다.  
180,로슈포르 10,생 레미,쿼드루펠,11.2도,1,27,"높은 도수임에도 느낌이 강하지 않으며, 과일향 등의 단맛과 쌉싸름한 맛이 조화롭게 어우러지며 부드러움과 함께 깊이 숙성된 훌륭한 맛의 밸런스가 좋다.  "
181,로슈포르 8,생 레미,벨지안 스트롱 에일 ,9.2도,1,22,"높음 도수임에도 느낌이 강하지 않으며 과일향, 초콜릿 같은 단맛과 쌉싸름한 맛이 조화롭게 어우러지며 향긋하고 달콤한 꽃내음의 향과 맛이 조화로운 맥주이다.  "
182,로슈포르 6,생 레미,벨지안 스트롱 에일 ,7.5도,1,18,향긋하고 상큼한 맛의 맥주. 첫 맛은 잘 익은 과일의 단맛이며 풍성한 맥아의 깔끔한 피니쉬가 인상적인 맥주이다.  
183,베스트말러 트리펠,베스트말러 브루어리,트리펠,9.5도,1,36,트리펠의 어머니라는 별명을 가지고 있다. 세계 최초의 트리펠로 과일향이 강하게 느껴지며 부드럽고 크리미한 촉감이 인상적이다. 전통적인 트리펠의 맛과 깊은 풍미가 훌륭한 맥주이다.  
184,베스트말러 듀벨,베스트말러 브루어리,듀벨,7도,1,28,"검붉은 색을 띄는 듀벨 타입의 맥주로 첫인상과는 다른 부드러운 느낌이 강하다. 과일의 향과 맛, 홉의 쌉싸름한 맛의 조화가 좋다. 풍성한 거품의 부드러움. 진한 질감등 밸런스가 훌륭한 맥주이다.  "
185,아헬 블론드,성 베네딕투스,블론드 에일,8도,1,20,황금빛을 가진 트라피스트로 과일향과 홉향이 풍부하다. 짙은 바나나향이 나타나며 홉의 쌉싸름한 맛과 조화롭다.  
186,라 트라페 쿼드러플,코닝스호벤,쿼드루펠,10도,0,22,오크나무통에서 장기간 숙성한 오크나무 숙성 트라피스트 맥주로 옅은 단맛과 어우러진 오크나무 숙성의 깊이가 느껴진다. 병속에서 발효가 지속적으로 일어나 시간이 지날수록 더욱 숙성된 맛이 느껴진다.  
187,카르멜리엣,보스틸스 브루어리,트리펠,8.4도,0,16,"1679년 사라진 카르멜리엣 수도원의 맥주를 완벽 재연한 맥주이다. 지역개발중 전쟁으로 사라진 수도원 터를 발견하고 이곳에서 맥주 제조법이 발견되어 1996년에 재연에 성공하여 3가지 재료(보리, 밀, 귀리)로 제조한 독특한 스타일의 트리펠타입의 맥주이다. 탁월한 밸런스가 일품. 부드러운 홉향, 향긋한 과일향이 매력적이다.  "
188,파우웰 콱,보스틸스 브루어리,페일 에일,8.4도,1,36,"독특한 잔이 유명한 맥주로 섬세한 과일향과의 밸런스가 좋은 상쾌한 맛의 맥주이다. 잔 모양의 유래는 나폴레옹 시대에 마차에 짐을 두고 마부들이 펍에서 술을 마시지 못하는 법 때분에 ""파우웰 콱"" 이라는 펍 주인이 마부들이 마차 위에서도 술을 마실수 있도록 말의 편자에 잔을 걸어두고 마실수 있게 잔을 만든데서 유래한다.  "
189,부쉬 프레스티지,듀비숑 브래서리,벨지안 스트롱 에일 ,13도,1,35,"부쉬 앰버맥주를 기본으로 양조후 오크통에서 전통적인 방식으로 6개월동안 숙성시킨다. 위스키의 풍미를 느낄수 있으며, 약간 붉은 빛의 색과 황토색의 거품속에서 과일의 향과 계피의 향이 느껴진다. 13%의 고도수 맥주지만 밸런스가 좋아 음용하기 편하다.  "
190,콜센동크 아그너스,콜센동크 브루어리,트리펠,7.5도,0,30,수도원 트리펠 스타일로 화려한 황금빛 풀바디의 맥주로 부드러운 거품과 풍성한 허브향이 홉과 밸런스를 이루고 피니쉬가 깔끔하다. 트리펠 타입의 맥주중 낮은 도수여서 편하게 마시기 좋다.  
191,콜센동크 파터,콜센동크 브루어리,듀벨,6.5도,0,30,"수도원 듀벨 스타일로 진한 몰트향과 약한 카라멜 향이 매력적이다. 부드럽고 풍부한 느낌. 진한 목넘김, 깊고 오래 유지되는 향이 좋다. 부드러운 음용느낌으로 편하게 마실수 있다.  "
192,콜센동크 크리스마스,콜센동크 브루어리,벨지안 스트롱 에일 ,8.1도,0,35,1년에 단 한번만 양조하는 시즌맥주이다  
193,트리포터 헬,봄 브루어리,벨지안 에일,6.5도,0,32,"매우 진하게 구운 봄 몰트(Bom malt)를 이용한 다크비어다. 다크 초콜릿, 카라멜, 커피향과 함께 신선한 빵의 향을 느낄 수 있으며 밀 몰트를 사용하여 약간 탁한 색상을 띈다. 병속에서 2차 발효가 일어난다.  "
194,트리포터 와일드,봄 브루어리,사워 에일,5.5도,0,20,이름에서 알수 있듯이 야생효모를 사용하여 만든 맥주로 5.5%의 낮은 도수기에 마시기에 편하다. 드라이 호핑(Dry hopping)을 통해 피니쉬에 홉향을 살짝 느낄수 있다. 청량한 목넘김과 가벼운 질감은 피니쉬에 올라오는 사워한 느낌과 어우러져 가볍게 마시기 좋은 맥주이다.  
195,트리포터 킨키 베리,봄 브루어리,프룻 비어,6.9도,1,10,20가지 다양한 과일로 양조한 독특한 맥주이다. 사워한 맥주 입문으로 좋은 맥주이다.  
196,트리포터 풀문 12,봄 브루어리,쿼드루펠,10.2도,0,20,양조과정에서 Roasted Oak를 직접넣어 양조한 맥주이다. 병 속에서 지속적으로 발효가 되며 시간이 지남에 따라 더욱 부드러워진다.  
197,어베이 데 락 그랑 크루,어베이 데 락 브루어리,벨지안 스트롱 에일 ,9.5도,1,35,"벨기에 스트롱 에일로 붉은빛이 도는 다크 브라운 색상을 가지고 있다. 강하고 풍부한 과일 아로마의 풍미가 인상적이며 다양한 과일향과 함께카라멜에 빠진 체리가 연상되는 풍부한 풍미로 시작하여 초코릿, 로스팅 아몬드의 맛으로 마무리된다.  "
198,어베이 데 락 브륀,어베이 데 락 브루어리,벨지안 스트롱 에일 ,9도,1,35,"붉은 빛이 감도는 갈색의 색상을 가지고 건자두, 건포도 같은 건과일의 맛이 느껴지며 고수, 생강같은 향신료와 바닐라의 맛도 느껴진다. 밸런스가 좋아 고두수의 맥주지만 편하게 음용 할 수 있다.  "
199,샤포 크릭,디 트로크 브루어리,프룻 비어,3.5도,1,15,전통적인 벨기에 람빅맥주로 인공색소가 아닌 100% 천연 과일을 첨가한 Sweet Lambic이다. 단맛이 강하진 않고 부드럽고 천연 체리가 함유된 람빅 맥주이다.  
200,샤포 바나나,디 트로크 브루어리,프룻 비어,3.5도,1,15,전통적인 벨기에 람빅맥주로 인공색소가 아닌 100% 천연 과일을 첨가한 Sweet Lambic이다. 단맛이 강하진 않고 부드럽고 천연 바나나가 함유된 람빅 맥주이다  
201,샤포 피치,디 트로크 브루어리,프룻 비어,3.5도,1,15,전통적인 벨기에 람빅맥주로 인공색소가 아닌 100% 천연 과일을 첨가한 Sweet Lambic이다. 단맛이 강하진 않고 부드럽고 천연 복숭아가 함유된 람빅 맥주이다.  
202,샤포 프람보아즈,디 트로크 브루어리,프룻 비어,3.5도,1,15,전통적인 벨기에 람빅맥주로 인공색소가 아닌 100% 천연 과일을 첨가한 Sweet Lambic이다. 단맛이 강하진 않고 부드럽고 천연 산딸기가 함유된 람빅맥주이다.  
203,홈멜 비어,밴 에크 브루어리,벨지안 에일,7.5도,0,40,포퍼린지에서 재배한 아로마틱한 홉만을 사용하는 독특한 에일 맥주로 홈멜은 지방 방언으로 홉을 의미한다. 홉맥주라는 이름처럼 홉의 쌉싸름하고 풍성한 맛이 좋으며 IPA 처럼 첫맛은 강한 홉의 향이 나지만 깔끔한 피니쉬가 좋은 맥주이다.  
204,뉴 벨지움 팻 타이어,뉴 벨지움 브루잉 컴퍼니,엠버 에일,5.2도,1,18,"달콤한 비스킷과 캐러멜 애플을 연상시키며, 마일드한 맛을 냄과 동시에 악간의 쓴맛으로 맛을 완성킨다. 단맛과 동시에 씁쓸한 맛의 완벽하게 조화를 이룬다.  "
205,뉴 벨지움 선샤인,뉴 벨지움 브루잉 컴퍼니,위트 비어,4.8도,1,14,이름 그대로 태양의 색상을 띈 선샤인윗은 오렌지와 코리앤더에서 오는 폭발적인 시트러스향과 브레디한 몰트의 맛이 잘 어우러져 있고 약간의 홉의 쓴맛과 함께 경쾌한 피니쉬가 특징이다. 야외활동시 마시기 좋은 맥주이다.  
206,파운더스 센테니얼 아이피에이,파운더스 브루잉 컴퍼니,인디아 페일 에일,7.2도,0,65,풍성한 플라워 부케의 거품과 풍부한 드라이 호핑에서 시트러스의 풍미를 더했다. 균형이 잘 잡혀 있지만 단맛이 마치 기본적인 몰티함이 홉의 캐리터와 잘 어우러져 피니쉬를 이루지만 결코 쓰지 않다.  
207,파운더스 포터,파운더스 브루잉 컴퍼니,포터,6.5도,0,45,"크리미한 거품과 비단같은 검은색을 띈다. 캬라멜몰트와 강한 초?렛향을 맡을 수 있으며, 홉의 가미가 파운더스 포터를 더욱 건장한 포터 맥주로 만들어주며 기대한 만큼의 꽉찬 향을 선보인다.  "
208,파운더스 더티 배스타드,파운더스 브루잉 컴퍼니,스카치 에일,8.5도,0,50,"어두운 루비색상을 띄며 7 종류의 몰트를 사용해서 양조.훈연향과 피트의 풍미가 더해진 피니쉬, 그리고 몰트의 풍부함에 홉의 파워가 마치 라이트 훅을 먹이는 듯하여 이름을 더티 배스터드로 지었다.  "
209,파이어스톤 워커 페일31,파이어스톤 브루잉컴퍼니,페일 에일,4.9도,1,38,"Golden State가 31번째 주로 승격됨을 기념하기 위한 이름이다. 그슬린 몰트향이 깔린 화사한 꽃향과 시트러스 홉의 아로마가 후각을 감싼다. 페일몰트와 크리스탈 몰트는 단맛을 주며, 아주 섬세한 홉의 비터함의 상쾌한 피니쉬를 가지고 있다.  "
210,그린 플래쉬 웨스트 코스트,그린플래쉬 브루잉컴퍼니,더블 인디아 페일 에일,8.1도,1,95,"양조 과정에서 야생 홉을 넣었으며 심코홉은 독특한 과일스러움과 자몽의 느낌, 컬럼버스 홉은 강렬한 홉의 매운 맛, 센테니얼 홉은 솔향과 시트러스 느낌 그리고 꽃 향의 느낌을 주는 케스케이드 홉 등이 다차원적인 홉의 맛을 선사한다.  "
211,그레이프푸룻 스컬핀,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 에일,7도,1,70,천연자몽이 첨가된 스컬핀IPA로 시트러스한 홉의 향미가 특징이다.  
212,그루니언 페일 에일,밸러스트 포인트 브루잉 컴퍼니,페일 에일,5.5도,1,35,홉브루잉 컨테스트 수상을 계기로 양조된 다양하고 호피한 페일에일로 멜론과 허브향의 밸런스가 뛰어나며 부드럽고 달콤한 캐러멜 몰트 맥주이다.  
213,더 코모도어,밸러스트 포인트 브루잉 컴퍼니,스타우트,6.5도,0,60,볶은 커피와 쵸콜릿의 밸런스가 잘 맞춰진 시트러스한 홉향이 좋은 어메리칸 스타우트이다.  
214,데드 링거,밸러스트 포인트 브루잉 컴퍼니,라거,6도,0,26,"적갈색의 옥토버페스트 라거로 볶은 몰트를 풍부하게 가미하여 달콤하며, 캐러멜 향과 과하지 않은 홉향이 특징이다.  "
215,도라도,밸러스트 포인트 브루잉 컴퍼니,더블 인디아 페일 에일,10도,0,90,홉 마니아를 위한 더블IPA로 막대한 홉을 사용하였으나 놀라울 정도로 마시기 편한 IPA이다.  
216,롱핀 라거,밸러스트 포인트 브루잉 컴퍼니,라거,4.5도,0,17,홉향이 완벽한 밸런스를 갖추어 깔끔한 피니쉬가 특징이 어디서나 마시기 좋은 라거맥주이다.  
217,만타 레이 더블 아이피에이,밸러스트 포인트 브루잉 컴퍼니,더블 인디아 페일 에일,8.5도,1,70,R&D프로그램의 많은 IPA를 기반으로 발전시킨 더블IPA로 솔잎향과 시트러스한 감귤향이 오래도록 지속되며 부드러한 피니쉬가 특징인 맥주이다.  
218,망고 이븐 킬,밸러스트 포인트 브루잉 컴퍼니,세션 인디아 페일 에일,3.8도,1,40,"망고, 시트러스한 홉, 과일향이 풍부한 매우 드링커블한 세션 IPA이다.  "
219,모카 마린,밸러스트 포인트 브루잉 컴퍼니,포터,6도,0,42,블랙마린 포터에 모카향이 매쉬업되어 커피와 코코아의 부드러운 맛이 특징이나 너무 달지않고 영국식 포터이다.  
220,블랙 마린,밸러스트 포인트 브루잉 컴퍼니,스타우트,6도,0,42,구운몰트에 설탕절임을 한 독특한 방식의 매우 부드럽고 쵸콜릿과 캐러멜향의 완벽한 포터이다.  
221,빅 아이 아이피에이,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 에일,7도,0,71,콜롬버스와 센테니얼 홉을 사용한 좀더 비터하고 호피스러운 맛이 일품인 밸러스트포인트사의 대표적인 IPA이다.  
222,사우어 웬치,밸러스트 포인트 브루잉 컴퍼니,블랙 에일,7도,1,10,푸르트한 베를리너 바이스 스타일의 블랙베리 에일로 브드러운 타트향의 사우어 에일이다.  
223,스컬핀 아이피에이,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 에일,7도,1,70,캘리포니아의 화사한 과일향과 홉의 상쾌함이 완벽한 조화를 이룬 월드비어컵(WBC) 골드메달에 빛나는 미 서부 최고의 IPA이다.  
224,씨네몬 레진 코모도어,밸러스트 포인트 브루잉 컴퍼니,스타우트,6.5도,1,62,실험적인 스타일의 맥주로 R&D프로그램에서 골드메달을 수상한 어메리칸 스타우트로 계피향과 건포도향이 달콤하며 스파이시한 맥주이다.  
225,씨 몬스터,밸러스트 포인트 브루잉 컴퍼니,임페리얼 스타우트,10도,0,65,오트밀스타우트로 구운 커피향과 달콤하고 쌉쌀한 쵸콜릿과 건포도 맛의 완벽한 스타우트이다.  
226,언필터드 스컬핀 아이피에이,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 에일,7도,1,68,"엑스트라 홉을 사용한 필터링하지 않은 스컬핀IPA로 살구,배,망고와 레몬향이 어우러지는 상쾌한 IPA이다.  "
227,워터메론 도라도,밸러스트 포인트 브루잉 컴퍼니,더블 인디아 페일 에일,10도,1,90,폭발하는 듯한 워터메론향이 홉과 완벽한 밸런스를 이루는 상쾌한 맥주로 여름에 풍미를 더한다.  
228,인드라 쿠닌드라,밸러스트 포인트 브루잉 컴퍼니,엑스포드 스타우트,7도,1,50,"마드라스 커리, 쿠민, 카이엔페퍼, 코코넛, 카피르라임 잎을 사용한 독특한 레시피의 스타우트이다.  "
229,오렌지 바닐라 패덤,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 라거,7도,1,70,라거효모가 가미된 웨스트코스트 IPA의 레시피로 만든 시트러스하고 솔향이 풍부한 인디아페일라거로 오렌지와 바닐라향이 가미된 맥주이다.  
230,캘리포니아 엠버,밸러스트 포인트 브루잉 컴퍼니,엠버 에일,5.5도,1,35,4가지 몰트를 사용하여 매우 복합적이나 어메리칸 홉에서 느껴지는 쓴맛과 풍부한 과일향이 완벽한 밸런스를 이룬 맥주이다.  
231,파이퍼 다운,밸러스트 포인트 브루잉 컴퍼니,스카치 에일,5.8도,0,22,적은 홉과 몰트를 사용한 UK Maris Otter 몰트와 구운보리의 복합적인 맛의 스카티시 에일이다.  
232,파인애플 스컬핀,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 에일,7도,1,70,열대 과일향이 풍부한 홉에 좀 더 달콤한 파인애플향이 첨가되어 과일향과 홉이 매우 조화롭다.  
233,패덤 아이피엘,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 라거,7도,1,70,라거효모가 가미된 웨스트코스트 IPA의 레시피로 만든 시트러스하고 솔향이 풍부한 인디아페일라거이다.  
234,펌킨 다운,밸러스트 포인트 브루잉 컴퍼니,스카치 에일,5.8도,0,22,캐러멜과 토피 몰트를 사용한 스카티시 펌킨에일로 스파이시한 맛이 특징이다.  
235,하바네로 스컬핀,밸러스트 포인트 브루잉 컴퍼니,인디아 페일 에일,7도,1,70,하바네로 페퍼가 첨가된 실험적인 스컬핀IPA로 화사한 과일향과 호피한 맛이 좋은 밸런스를 이룬다.  
236,레드 씰 에일,노스 코스트 브루잉 컴퍼니,엠버 에일,5.4도,0,42,"몰트와 홉이 아름답게 조화된 풀바디로 풍부한 홉향이 오래도록 지속되며, 스파이시한 피니쉬가 있는 맥주이다.  "
237,브라더 델로니어스,노스 코스트 브루잉 컴퍼니,스타우트,9.4도,0,27,벨지엔스타일의 다크 에비에일로 1940년 초 뉴욕에서 활약하던 전설의 재즈기인인 델로니어스 몽크에게 헌정되어진 맥주이다.  
238,블루 스타,노스 코스트 브루잉 컴퍼니,위트 비어,4.5도,0,17,미국 크래프트 맥주의 르네상스 시대의 방식으로 양조된 필터링하지 않은 맥주로 이스트가 추가된 복잡 미묘한 맛이 특징이다.  
239,스크림쇼,노스 코스트 브루잉 컴퍼니,필스너,4.7도,0,22,"뮌헨 몰트와 할러타우어, 테낭 홉을 사용한 유럽 전통방식으로 만든 필스너로 상쾌한 맛이 특징이다.  "
240,에크미 아이피에이,노스 코스트 브루잉 컴퍼니,인디아 페일 에일,6.9도,0,55,"심오한 홉향이 전체적으로 상큼한 맛을 나타내며, 비교적 강한 홉향에도 불구하고 대단히 맛있고 마시기 편한 맥주이다.  "
241,올드 넘버38,노스 코스트 브루잉 컴퍼니,스타우트,5.4도,0,53,짙은 맥아와 볶은 보리의 구운듯한 맛과 커피향이 특징인 부드럽고 견고한 바디감이 특징인 스타우트이다.  
242,올드 스탁,노스 코스트 브루잉 컴퍼니,올드 에일,11.9도,1,34,고급 포트와인과 같은 맥주로 전량 영국에서 수입된 몰트에 퍼글과 이스트켄트골딩 홉을 사용한 최고급 빈티지 맥주이다.  
243,이스케이프 투 콜로라도,에픽 브루잉 컴퍼니,인디아 페일 에일,6.2도,1,50,감귤부터 열대과일맛의 복합적이고 가벼운 시트러스한 맛이 강한 홉향과 밸런스를 이룬 너티하며 달콤한 풍미가 좋다.  
